variable_id,mz,rt,condition,polarity,mean_intensity
M122T642_POS,121.9872178,641.5438843,0.01782271,positive,102437393.9
M122T615_POS,121.9872302,614.964325,-0.033966526,positive,132099759.8
M122T589_POS,121.9872303,588.6685486,-0.016335822,positive,82420121.06
M122T601_POS,121.9872091,600.5255432,0.095240953,positive,77621232.02
M122T570_POS,121.9872543,570.4177246,0.005753212,positive,116566856.7
M122T405_POS,121.98727,404.565918,0.022332538,positive,66176358.38
M122T677_POS,121.987199,676.9489441,0.007416253,positive,134314948.8
M122T543_POS,121.9872738,542.5991821,-0.077082807,positive,97489071.26
M122T792_POS,121.9871837,792.1990967,-0.039432229,positive,74165875.8
M122T501_POS,121.9872705,501.2171936,0.016516371,positive,89709712.38
M122T712_POS,121.9872044,711.5155029,-0.017147928,positive,82398385.23
M122T735_POS,121.987204,735.4414673,0.008490444,positive,73876007.99
M122T757_POS,121.9871916,757.0372925,-2.65E-05,positive,65842674.98
M122T476_POS,121.9872741,476.0858765,-0.004998207,positive,73574077.61
M122T439_POS,121.9872714,439.3786316,0.094604721,positive,92729330.12
M122T251_POS,121.9872744,250.5269928,0.068751085,positive,40745345.79
M122T824_POS,122.0205043,823.5736694,0.093947061,positive,13180609.56
M122T202_POS,122.0270646,201.5194168,0.120401123,positive,1774336.474
M122T34_POS,122.0268766,33.82913589,0.027468852,positive,1831717.792
M122T67_POS,122.0576672,67.39509583,0.019824756,positive,46890695.69
M122T33_POS,122.0874334,33.10200119,-0.065909562,positive,40595697.11
M123T33_1_POS,123.0440569,33.43665695,-0.043614688,positive,4484198.024
M123T266_POS,123.0418184,265.6797638,0.105032015,positive,32934469.14
M123T56_POS,123.0552689,56.03255844,-0.077374799,positive,15590956.81
M123T33_2_POS,123.0964677,32.98836136,0.037874541,positive,6769925.802
M123T34_POS,123.1168096,34.16513824,0.025328552,positive,6620024.574
M124T595_POS,123.9585264,594.7321167,-0.088249209,positive,1117559.075
M124T826_POS,123.9826307,825.6968079,-0.020286354,positive,49023003.66
M124T641_POS,123.9826935,641.3626099,-0.030356872,positive,40854640.75
M124T588_POS,123.9827085,588.0048828,0.049841517,positive,37154093.34
M124T615_POS,123.9827102,615.3021851,-0.071749561,positive,48539436.91
M124T570_POS,123.9827345,570.3996887,-0.027092345,positive,40879530.54
M124T677_POS,123.9826819,677.2210999,-0.02634781,positive,46501576.17
M124T781_POS,123.9826629,780.9005127,0.002530316,positive,32409764.25
M124T411_POS,123.9827542,411.4317932,0.044214289,positive,22587418.03
M124T711_POS,123.9826748,711.3487549,-0.01053362,positive,36779706.66
M124T440_POS,123.9827589,440.0073853,0.053498346,positive,38780881.98
M124T197_POS,124.0506381,196.7932053,0.043475564,positive,4787116.766
M124T56_POS,124.0586845,56.22124481,-0.079782389,positive,2287186.346
